No,Product Name,Price,Currency,SKU,Brand,Description,URL,Image
31,"كبريتات امونيوم محبب تاج 50 كيلو",138.00,SAR,"1100065","","كبريتات أمونيوم تاج بوزن 50 كيلو، تأثير فعال وجودة مضمونة تساهم في تحقيق نتائج مذهلة، احصل عليها الآن ولا تفوت فرصة الاستفادة | أسمدة مركبة، شركة تاج الزراعية","https://tajagri.sa/products/كبريتات-امونيوم-تاج-50-كيلو","https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/b80ac3a8-7098-4ab5-bdc5-861059b5cb30-thumbnail-1000x1000-70.jpg"
32,"فيرتامين عبوة 1لتر",50.00,SAR,"1100080","","فيرتامين عبوة 1لتر سماد سائل للنباتات الداخلية يحتوي على الأحماض الامينية التي تجعلها أكثر صحة مما يجعل منه محفز لنمو جذور النباتات , فهو الخيار الامثل لزراعة نباتاتك | شركة تاج الزراعية","https://tajagri.sa/products/فيرتامين-عبوة-1لتر","https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/1c364bbc-9fbb-45b0-a9ad-6686e886cde4-thumbnail-1000x1000.png"
33,"فيرتامين عبوة 10لتر",345.00,SAR,"1100081","","اشترِ فيرتامين من تاج الزراعية لتعزيز نمو نباتاتك وتحسين صحتها وزيادة حيويتها بتركيبة فعالة وسريعة الامتصاص. اطلب الآن واستفد بأفضل سعر.","https://tajagri.sa/products/فيرتامين-عبوة-10لتر","https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/252128da-35c7-4ca5-861c-31b75622a020-thumbnail-1000x1000.png"
34,"جروجرين 12-12-36+ع ن عبوة 25 كجم",345.00,SAR,"1100084","","سماد 12 12 36 من تاج الزراعية بتركيبة متوازنة تدعم الإزهار وزيادة الإنتاج وتحسين جودة المحصول، مناسب لمختلف المزروعات. اطلب الآن واستفد بالعروض.","https://tajagri.sa/products/جروجرين-12-12-36ع-ن-عبوة-25-كجم","https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/de4ba173-25d2-4e5e-a99d-33e0602d1cac-thumbnail-1000x1000.png"
35,"جروجرين 28-10-10+2 مغ+ع ن عبوة 25 كجم",276.00,SAR,"1100085","","اكتشف سر تحقيق إنتاج زراعي ممتاز مع جروجرين 28-10-102. تركيبة فريدة تضمن نموًا سريعًا وإنتاجية مضاعفة. احصل على العبوة بوزن 25 كجم اليوم.","https://tajagri.sa/products/جروجرين-28-10-102-مغع-ن-عبوة-25-كجم","https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/88a279e0-9256-4f34-b11d-55e15b021ee5-thumbnail-1000x1000.png"
36,"جروجرين بلجيكي تاج 10-5-40+ ماغنسيوم 25 كيلو",316.25,SAR,"1100068","","جروجرين بلجيكي تاج أسمدة مصنعة من خامات أوروبية عالية النقاوة لا تحتوي على الشوائب وهي منخفضة نسبة الصوديوم والكلور والمعادن الثقيلة | أسمدة مركبة، شركة تاج الزراعية","https://tajagri.sa/products/جروجرين-بلجيكي-تاج-10-5-40-ماغنسيوم-25-كيلو","https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/6a463c9f-a56b-4632-8e85-29f17cfbf6c4-thumbnail-1000x1000-70.jpg"
37,"جروجرين بلجيكي تاج 10-52-10 + عناصر صغرى 25 كيلو",333.50,SAR,"1100067","","وفر لنباتاتك أفضل تغذية مع سماد بلجيكي من تاج الزراعية بجودة أوروبية عالية يدعم النمو السريع والإنتاج القوي. اطلب الآن وتمتع بسعر مميز.","https://tajagri.sa/products/جروجرين-بلجيكي-تاج-10-52-10-عناصر-صغرى-25-كيلو","https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/b0d46c74-5aba-431d-b087-afed4150548d-thumbnail-1000x1000-70.jpg"
38,"جروجرين بلجيكي تاج 20-20-20 + عناصر صغرى 25 كيلو",310.00,SAR,"1100066","","جروجرين بلجيكي تاج 20-20-20 تحسين نمو نباتاتك بجودة فائقة ,أسمدة مركبة تامة الذوبان في الماء تحتوي على العناصر الكبرى بنسب مختلفة لتلائم جميع مراحل نمو النبات |شركة تاج الزراعية","https://tajagri.sa/products/جروجرين-بلجيكي-تاج-20-20-20-عناصر-صغرى-25-كيلو","https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/6d37a88a-c38d-41d7-96bd-9c5d6dd731bd-thumbnail-1000x1000-70.jpg"
39,"حامض النيتريك 20 لتر",300.00,SAR,"1200300012","","حامض النيتريك 20لتر - ابدأ في تحسين زراعتك مع منتجات تاج عالية الجودة واستخدم سماد زراعي لتعزيز نمو وتطور محاصيلك | أسمد سائلة، شركة تاج الزراعية","https://tajagri.sa/products/حامض-النيتريك-25-لتر","https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/ae2132bd-4fbc-4994-824a-3d2d12c8aa56-thumbnail-1000x1000-70.jpg"
40,"مرشة صيني 5 لتر",40.25,SAR,"4100028","","مرشة زراعية صينية سعة 5 لتر لري منتجاتك بكفاءة وسهولة، احصل على الحل المثالي للري والاستخدام المريح طلبها الآن | مرشات زراعية، شركة تاج الزراعية","https://tajagri.sa/products/مرشة-صيني-5-لتر","https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/9a7ece2a-dad9-43cd-a9e5-94a47ac61f5c-thumbnail-1000x1000.png"
